file;name;country;capacity;license;author;source
panathenaic-stadium.jpg;Panathenaic Stadium;Greece;68000;CC BY-SA 3.0;Bgabel;https://commons.wikimedia.org/wiki/File:GR-athen-panathinaiko-stadion.jpg
donbass-arena.jpg;Donbass Arena;Ukraine;52518;CC BY 3.0;Валерий Дед;https://commons.wikimedia.org/wiki/File:Donetsk_Donbass_Arena_40.jpg
estadio-centenario.jpg;Estadio Centenario;Uruguay;60235;CC BY-SA 2.0;Marcelo Campi from Costa de Oro, Uruguay;https://commons.wikimedia.org/wiki/File:Estadio_Centenario_(vista_a%C3%A9rea).jpg
stadion-maksimir.jpg;Stadion Maksimir;Croatia;60000;CC BY-SA 4.0;Suradnik13;https://commons.wikimedia.org/wiki/File:Maksimirski_stadion_Zagreb.jpg
rajko-mitic-stadium.jpg;Rajko Mitić Stadium;Serbia;55538;CC BY-SA 3.0;Isimic;https://commons.wikimedia.org/wiki/File:Zvezda_stadion.jpg
aviva-stadium.jpg;Aviva Stadium;Ireland;51700;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Dublin_aviva_stadium.jpg
de-kuip.jpg;De Kuip;Netherlands;51577;Public domain;Author and original uploader was ART at nl.wikipedia;https://commons.wikimedia.org/wiki/File:StadionFeyenoord.jpg
astana-arena.jpg;Astana Arena;Kazakhstan;30000;CC BY-SA 3.0;ChelseaFunNumberOne;https://commons.wikimedia.org/wiki/File:Astana_Arena_(inside_interior).JPG
mas-monumental-stadium.jpg;Mas Monumental Stadium;Argentina;84567;CC BY-SA 4.0;Fulviusbsas;https://commons.wikimedia.org/wiki/File:RiverPlateStadium.jpg
international-stadium-yokohama.jpg;International Stadium Yokohama;Japan;72327;CC BY-SA 3.0 de;Arne Müseler;https://commons.wikimedia.org/wiki/File:Nissan_International_Stadium_Yokohama.jpg
helsinki-olympic-stadium.jpg;Helsinki Olympic Stadium;Finland;42062;CC BY-SA 4.0;Joneikifi;https://commons.wikimedia.org/wiki/File:Olympiastadion_2_2020-08-12.jpg
azadi-stadium.jpg;Azadi Stadium;Iran;84000;CC BY 4.0;Mahdi Zare/Fars News Agency;https://commons.wikimedia.org/wiki/File:Azadi_Stadium_ACL_2018.jpg
king-baudouin-stadium.jpg;King Baudouin Stadium;Belgium;50024;CC BY-SA 3.0;Joni-Fuego;https://commons.wikimedia.org/wiki/File:Stade_Roi_Baudouin.JPG
stade-louis-ii.jpg;Stade Louis II;Monaco;18523;CC BY 3.0;Валерий Дед;https://commons.wikimedia.org/wiki/File:Monaco_Stade_Louis-II_1.jpg
a-le-coq-arena.jpg;A. Le Coq Arena;Estonia;14336;CC BY-SA 2.0;toivo;https://commons.wikimedia.org/wiki/File:Samba_boys_kick_off_the_match_in_Tallinn.jpg
strawberry-arena.jpg;Strawberry Arena;Sweden;54329;CC BY 2.0;Håkan Dahlström from Malmö, Sweden;https://commons.wikimedia.org/wiki/File:Friends_Arena_(7751335978).jpg
arena-philip-ii-of-macedonia-tose-proeski-todor.jpg;Arena ”Philip II. of Macedonia / Toše Proeski / Todor”;North Macedonia;33460;CC BY-SA 4.0;kallerna;https://commons.wikimedia.org/wiki/File:To%C5%A1e_Proeski_Arena_1.jpg
puskas-arena.jpg;Puskás Aréna;Hungary;67215;CC BY-SA 4.0;OD Pictures;https://commons.wikimedia.org/wiki/File:Pusk%C3%A1s_Ar%C3%A9na_05.jpg
dinamo-arena.jpg;Dinamo Arena;Georgia;54549;CC BY-SA 4.0;Emin Allahverdi;https://commons.wikimedia.org/wiki/File:Boris_Paichadze_Dinamo_Arena,_Samtredia_-_Qaraba%C4%9F.jpg
philips-stadion.jpg;Philips Stadion;Netherlands;36500;CC BY 2.5;TaraO;https://commons.wikimedia.org/wiki/File:Philips_Stadion.jpg
hrazdan-stadium.jpg;Hrazdan Stadium;Armenia;54208;CC BY 2.0;Dr. Harout Tanielian;https://commons.wikimedia.org/wiki/File:Hrazdan_Stadium_2013,_Yerevan.jpg
julio-martinez-pradanos-national-stadium.jpg;Julio Martínez Prádanos National Stadium;Chile;46190;CC BY-SA 4.0;Rjcastillo;https://commons.wikimedia.org/wiki/File:Estadio_Nacional_-_A741105.jpg
tofiq-bahramov-stadium.jpg;Tofiq Bahramov Stadium;Azerbaijan;31200;CC BY-SA 4.0;Eminn;https://commons.wikimedia.org/wiki/File:Qarabagh_-_Young_Boys,_27.08.2015_(1).JPG
