file;manager;license;author;source;modified
carlo-ancelotti.jpg;Carlo Ancelotti;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Carlo_Ancelotti_Brazil_V_Morocco_13_June_2026-47.jpg;cropped to the head and resized to 320px
carlos-queiroz.jpg;Carlos Queiroz;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Carlos_Queiroz_England_v_Ghana_23_June_2026-092_(cropped).jpg;cropped to the head and resized to 320px
chris-coleman.jpg;Chris Coleman;CC BY-SA 3.0;Steindy ( talk ) 16:08, 10 November 2016 (UTC);https://commons.wikimedia.org/wiki/File:AUT_vs._WAL_2016-10-06_(097).jpg;cropped to the head and resized to 320px
christoph-daum.jpg;Christoph Daum;CC BY-SA 3.0;9EkieraM1;https://commons.wikimedia.org/wiki/File:AV0A0722_Christoph_Daum.jpg;cropped to the head and resized to 320px
christophe-galtier.jpg;Christophe Galtier;CC BY 4.0;Mohammad Sadiq Nik Gostar;https://commons.wikimedia.org/wiki/File:Christophe_Galtier_with_Al_Duhail.jpg;cropped to the head and resized to 320px
claude-makelele.jpg;Claude Makelélé;CC BY 2.0;Web Summit Qatar;https://commons.wikimedia.org/wiki/File:Claude_Mak%C3%A9l%C3%A9l%C3%A9_(53557564951)_(cropped).jpg;cropped to the head and resized to 320px
claude-puel.jpg;Claude Puel;CC BY-SA 3.0;Pymouss44;https://commons.wikimedia.org/wiki/File:Claude_Puel_(cropped).jpg;cropped to the head and resized to 320px
claudio-ranieri.jpg;Claudio Ranieri;CC BY-SA 3.0;Original: Майоров Владимир Derivative work: Danyele;https://commons.wikimedia.org/wiki/File:Claudio_Ranieri_Inter_(cropped).jpg;cropped to the head and resized to 320px
daniele-de-rossi.jpg;Daniele De Rossi;CC BY 3.0;Biser Todorov (original picture), Mess (derivative work);https://commons.wikimedia.org/wiki/File:Daniele_De_Rossi_BGR-ITA_2012.jpg;cropped to the head and resized to 320px
david-moyes.jpg;David Moyes;CC BY 3.0;Toffee TV;https://commons.wikimedia.org/wiki/File:David_Moyes_2025.jpg;cropped to the head and resized to 320px
dejan-stankovic.jpg;Dejan Stanković;CC BY-SA 3.0;Вячеслав Евдокимов;https://commons.wikimedia.org/wiki/File:Dejan_Stankovi%C4%87_in_2025.jpg;cropped to the head and resized to 320px
dennis-wise.jpg;Dennis Wise;CC BY-SA 2.0;@cfcunofficial (Chelsea Debs) London from London, UK;https://commons.wikimedia.org/wiki/File:Chelsea_Legends_1_Inter_Forever_4_(28453485028)_(cropped).jpg;cropped to the head and resized to 320px
dick-advocaat.jpg;Dick Advocaat;CC BY-SA 3.0;Новикова Юлия;https://commons.wikimedia.org/wiki/File:Dick_Advocaat_2011_Russia.jpg;cropped to the head and resized to 320px
didier-deschamps.jpg;Didier Deschamps;CC BY-SA 4.0;Bryan Berlin;https://commons.wikimedia.org/wiki/File:Didier_Deschamps_France_v_Senegal_16_June_2026-519_(cropped).jpg;cropped to the head and resized to 320px
diego-simeone.jpg;Diego Simeone;CC BY-SA 4.0;Анна Нэсси;https://commons.wikimedia.org/wiki/File:Diego_Simeone.jpg;cropped to the head and resized to 320px
dino-zoff.jpg;Dino Zoff;Public domain;Original: Unknown author Unknown author / Derivative work: Heiko Gerber;https://commons.wikimedia.org/wiki/File:Dino_Zoff_-_1972_-_Juventus_FC_(cropped).jpg;cropped to the head and resized to 320px
